bug ID,crypto,general,java,networking
37644,0.9606,2.1796,0.826,6.6421
37643,0.7724,0.7724,0.7724,1.7946
37642,0.3399,4.8704,1.3943,4.8781
37641,0.4463,3.5744,0.4463,2.9136
37640,0.497,5.4036,0.497,5.7664
37639,0.5577,1.9535,0.0,2.6848
37638,1.1291,1.7046,2.769,3.5294
37637,0.0,0.0,0.0,0.0
37636,0.0,0.6593,0.0,4.7666
37635,0.0,1.4006,1.4006,0.6993
37634,0.0,0.0,1.1083,1.1083
37633,1.464,0.6103,0.9968,6.094
37632,2.5707,9.1538,2.4404,8.0558
37631,0.0,4.8277,0.4622,8.2498
37630,0.6071,0.9944,2.6246,4.223
37629,0.0,2.0019,1.3037,0.6982
37628,0.0,2.5619,1.1983,2.0776
37627,0.7425,3.3951,1.1942,3.3674
37626,0.2578,1.729,0.9054,3.2557
37625,0.0,1.0449,1.0449,1.0449
37624,1.2933,2.2553,1.1205,6.2136
37623,0.0,1.6963,2.1781,2.9549
37622,0.66,0.66,0.66,1.6489
37621,0.0,0.88,0.0,0.0
37620,0.6791,0.852,0.8943,2.4254
37619,0.0,0.8319,0.0,0.8454
37618,0.0,3.0327,1.3631,3.9137
37617,0.7035,0.8407,0.0,4.0363
37616,1.3551,0.6895,1.4919,3.2966
37615,2.1576,4.3316,1.0657,5.0645
37614,1.8086,3.4092,1.0569,6.5114
37613,1.5318,2.3885,0.3298,4.2345
37612,1.3935,1.5009,1.4174,2.1426
37611,0.5735,0.9592,0.9592,2.7639
37610,0.353,2.717,0.0,2.6252
37609,0.0,0.7252,0.0,0.7252
37608,0.0,3.3176,2.7787,4.7481
37607,1.2535,3.9211,1.897,5.459
37606,0.7156,4.9763,2.9274,4.1595
37605,0.2157,1.7795,1.5809,2.8656
37604,1.5719,3.8529,0.8332,6.508
37603,0.6903,3.1369,0.5258,2.2431
37602,0.0,1.625,0.0,4.9691
37601,0.4986,3.5953,1.6912,3.8459
37600,0.6068,3.3133,1.5503,5.1435
37599,0.101,1.4868,0.9902,3.3961
37598,0.0,2.0274,0.0,6.1278
37597,0.9203,3.1022,0.763,8.5985
37596,1.8881,0.6795,0.6795,4.1789
37595,1.4925,1.1772,0.0,1.1772
37594,0.199,2.0769,0.571,2.8257
37593,0.0,2.8524,0.0,3.675
37592,1.1756,2.2396,0.4239,4.0365
37591,0.0,0.0,0.0,4.7659
37590,0.8606,2.6513,0.0,1.7612
37589,0.7359,0.7359,0.7359,1.777
37588,1.8174,3.0021,0.9536,6.8195
37587,0.5121,5.2567,2.9545,1.9738
37586,0.3477,3.3384,2.7161,5.9754
37585,2.1464,2.9969,1.1045,2.5611
37584,0.3288,1.7716,1.7716,1.2634
37583,0.5311,2.526,1.3974,8.8285
37582,0.5305,4.408,0.3146,5.495
37581,0.0,1.146,0.0,0.0
37580,0.0,0.0,0.0,0.0
37579,0.0,0.0,0.0,0.0
37578,1.2815,5.0659,2.5093,6.7106
37577,0.2331,2.8659,1.5745,2.2868
37576,0.0,1.9884,1.4334,4.3139
37575,1.0604,3.2346,0.3772,3.5012
37574,0.0,0.0,2.2344,0.8275
37573,0.1866,2.109,0.5041,4.0378
37572,0.2776,2.5271,0.0,1.8049
37571,0.0,0.0,2.6797,2.7901
37570,0.0,0.7069,0.0,0.0
37569,0.0,1.9084,0.0,2.152
37568,0.0,0.0,0.0,2.542
37567,0.0,0.5387,0.8366,1.2561
37566,0.0,1.8664,0.0,0.0
37565,1.4362,2.8541,0.4338,5.7239
37564,0.0,0.0,0.0,2.6786
37563,0.5876,1.5446,0.0,4.1341
37562,0.0,1.8113,0.0,0.0
37561,0.0,2.5634,1.2406,0.8791
37560,0.0,1.5252,0.0,5.3505
37559,0.0,1.8953,0.0,2.9222
37558,0.4919,6.7903,3.9601,8.8331
37557,0.9431,3.0503,0.462,6.0389
37556,0.0,0.0,0.0,0.0
37555,0.0,2.1805,0.0,2.1165
37554,0.0,2.2504,0.0,0.8644
37553,0.0,2.3692,0.7648,4.6695
37552,0.0,2.432,0.0,1.4324
37551,1.9153,4.3002,0.7397,4.816
37550,0.0,1.5375,0.0,1.9934
37549,0.0,2.6757,1.2911,5.1713
37548,0.0,3.4979,1.9903,3.9629
37547,1.9391,3.8984,0.2508,5.5674
37546,0.0,0.4908,0.0,1.6266
37545,1.0314,3.5795,0.7303,2.4588
37544,0.0,0.9855,0.0,0.5911
37543,1.1756,2.2396,0.4239,4.0365
37542,0.0,5.349,0.4968,4.5405
37541,0.0,0.9153,0.0,0.0
37540,0.763,2.5883,0.2606,4.2151
37539,1.1756,2.2396,0.4239,4.0365
37538,0.0,0.8362,0.0,0.0
37537,0.0,0.0,0.0,0.0
37536,0.0,2.3605,1.3822,4.8395
37535,1.6951,4.7783,1.8641,5.3647
37534,0.4673,8.913,7.2756,4.1022
37533,2.1655,1.7632,0.8956,6.5869
37532,0.2357,2.6474,1.0772,3.8892
37531,0.6021,2.6975,0.0,6.2188
37530,1.109,3.7549,2.0439,6.9154
37529,1.2682,2.6785,0.574,4.214
37528,0.0,1.7876,0.8936,4.0144
37527,0.0,3.7061,0.0,2.6425
37526,0.0,3.7061,0.0,2.6425
37525,2.0909,0.569,2.8674,4.1046
37524,0.3041,2.3807,1.6539,7.8611
37523,0.0,0.0,0.0,2.8932
37522,0.0,1.9653,0.6825,4.1743
37521,0.0,0.8573,0.0,1.1072
37520,0.5901,3.4553,1.1172,3.7538
37519,1.0246,5.0639,4.6227,7.8004
37518,1.5433,3.7812,2.3357,6.8246
37517,0.1698,4.1153,1.3154,3.5746
37516,0.0,0.2894,0.0,1.3457
37515,0.2841,2.4441,1.4379,2.4874
37514,0.0,0.9591,0.9591,1.6068
37513,0.635,3.8856,2.0795,3.8592
37512,0.0,5.2594,3.8412,5.5915
37511,0.6262,3.83,1.6463,5.502
37510,0.0,3.6986,0.0,6.6812
37509,0.721,3.298,1.4419,3.2837
37508,1.2399,2.4232,0.2297,7.6657
37507,0.1503,3.4562,0.0,5.6303
37506,1.4033,4.3194,0.6583,5.1098
37505,0.296,1.5556,0.0,2.336
37504,0.0,0.0,0.0,1.0833
37503,0.0,2.3305,0.0,2.8581
37502,0.4643,2.2518,0.7901,4.8061
37501,1.9699,4.3808,0.3903,10.3234
37500,0.3247,5.7985,0.0,2.7854
37499,0.0,0.0,0.0,0.9367
37498,2.3655,3.3294,3.0379,7.9176
37497,0.5607,2.5406,2.7948,4.3011
37496,0.7575,4.314,0.7575,3.5279
37495,1.1756,2.2396,0.4239,4.0365
37494,0.4131,3.451,0.0,11.3851
37493,0.9046,1.3092,0.0,7.4535
37492,0.0,2.5043,0.0,4.7307
37491,0.3985,1.0594,1.9062,6.408
37490,1.0655,2.8757,0.7591,3.7358
37489,0.9698,2.7397,0.341,3.8496
37488,0.6343,4.2956,2.8515,4.2054
37487,0.0,3.4854,2.2115,4.3629
37486,0.0,2.8229,0.9793,0.9793
37485,0.2975,3.3212,0.0,4.6043
37484,0.7388,5.7718,3.4148,3.9107
37483,0.0,0.6128,0.0,0.6128
37482,1.9455,6.338,2.1513,5.8043
37481,0.2946,1.5342,0.0,3.734
37480,1.1756,2.2396,0.4239,4.0365
37479,0.7908,5.6217,7.4582,8.0809
37478,1.1756,3.9783,0.4239,4.9416
37477,1.1756,3.9783,0.4239,4.9416
37476,0.0626,5.0404,2.6902,11.8734
37475,0.6761,2.8061,1.3552,5.7545
37474,1.2363,4.5643,1.3571,5.0056
37473,0.5104,2.7036,2.3348,2.7786
37472,0.0,2.5717,1.3216,2.287
37471,0.0,4.2708,1.0491,1.9017
37470,1.2342,6.0021,3.7882,8.4009
37469,1.1065,3.4581,0.3451,9.6536
37468,1.7507,3.0443,1.366,5.7609
37467,0.0,3.3563,0.0,3.5528
37466,0.6998,1.6915,0.6998,3.0306
37465,1.4923,1.3416,0.6608,3.9271
37464,0.0,3.2964,0.0,3.255
37463,1.9635,7.0505,3.392,9.5266
37462,0.0,2.2683,0.0,6.33
37461,2.0944,3.2029,2.0601,11.4865
