Bug 1,Bug 2,Ch 11,Ch 21,Ch 31,Ch 41,Ch 51,Ch 61,Ch 71,Ch 81,Ch 91,Ch 101,Ch 111,Ch 121,Ch 12,Ch 22,Ch 32,Ch 42,Ch 52,Ch 62,Ch 72,Ch 82,Ch 92,Ch 102,Ch 112,Ch 122,cosine_similarity,class
37520,35759,0.81,3.55,4.13,1.91,2.08,8.17,6.08,2.42,1.1,2.44,2.44,1.12,0.0,6.84,3.23,3.06,1.7,6.39,6.11,1.95,1.54,1.95,2.62,1.25,0.946,dup
37520,35653,0.81,3.55,4.13,1.91,2.08,8.17,6.08,2.42,1.1,2.44,2.44,1.12,0.0,6.38,4.08,2.39,5.25,13.73,6.92,0.43,2.39,2.28,5.37,0.82,0.952,dup
37520,35414,0.81,3.55,4.13,1.91,2.08,8.17,6.08,2.42,1.1,2.44,2.44,1.12,1.23,8.34,5.65,7.86,6.01,8.78,7.3,3.39,2.37,6.81,6.73,2.37,0.908,dup
37520,34880,0.81,3.55,4.13,1.91,2.08,8.17,6.08,2.42,1.1,2.44,2.44,1.12,1.83,9.5,9.33,6.94,4.84,10.12,11.43,3.84,3.7,4.75,6.61,3.7,0.949,dup
37427,33788,1.94,7.11,8.81,5.95,7.41,14.04,10.04,3.46,5.82,5.56,9.62,3.67,1.69,11.46,9.84,7.11,7.62,13.29,11.09,2.4,4.02,3.91,10.98,2.78,0.98,dup
37198,37197,3.32,10.85,8.51,8.69,8.19,13.97,10.63,3.9,3.9,7.36,10.07,5.27,3.32,10.85,8.51,8.69,8.19,13.97,10.63,3.9,3.9,7.36,10.07,5.27,1.0,dup
37036,29439,0.0,7.44,4.99,3.0,3.15,10.46,7.3,1.77,0.42,1.16,5.08,3.53,1.52,7.95,2.48,4.92,0.86,8.81,7.01,0.0,3.83,3.07,3.83,3.76,0.931,dup
37019,37018,0.44,6.54,3.99,4.44,2.81,7.36,6.68,1.44,2.57,1.44,4.65,1.44,0.44,6.54,3.99,4.44,2.81,7.36,6.68,1.44,2.57,1.44,4.65,1.44,1.0,dup
36996,36995,0.6,9.64,2.29,1.67,3.1,7.44,4.3,1.67,1.72,4.12,4.63,2.54,0.76,10.08,3.11,2.13,3.65,8.53,5.16,1.92,2.28,4.87,5.59,2.91,0.998,dup
36952,36829,0.8,4.28,5.67,2.22,3.36,7.65,3.4,0.95,0.88,1.78,2.98,1.07,3.16,10.77,8.85,8.11,8.28,13.41,8.3,3.27,1.97,5.85,8.26,3.84,0.965,dup
36903,34933,1.02,6.35,3.85,3.44,2.24,5.79,4.26,1.22,2.51,2.25,4.28,2.95,1.24,5.61,5.84,4.03,2.95,7.33,4.85,1.93,3.54,2.74,6.74,3.05,0.981,dup
36854,35422,0.72,8.0,6.13,4.24,5.72,7.81,5.84,2.52,1.69,2.52,5.84,2.41,2.66,9.11,11.28,6.74,6.28,13.57,9.65,3.39,4.8,4.68,8.46,3.75,0.978,dup
36854,34686,0.72,8.0,6.13,4.24,5.72,7.81,5.84,2.52,1.69,2.52,5.84,2.41,1.05,11.05,7.02,5.97,5.96,16.81,11.83,3.72,3.98,5.05,8.85,2.42,0.968,dup
36771,36362,0.12,5.58,4.5,2.87,2.38,6.01,5.12,1.58,2.98,1.8,5.07,0.77,0.96,5.61,4.92,4.5,2.42,4.84,4.53,0.96,3.35,4.75,7.04,2.42,0.953,dup
36704,34917,0.66,3.61,4.26,1.55,0.37,8.11,3.39,0.89,0.0,2.42,3.39,1.44,0.0,7.51,4.56,2.81,2.99,8.12,5.74,2.06,0.7,2.06,2.06,0.7,0.922,dup
36704,16260,0.66,3.61,4.26,1.55,0.37,8.11,3.39,0.89,0.0,2.42,3.39,1.44,2.07,9.76,5.08,4.85,4.6,12.09,8.21,3.1,3.08,4.74,5.77,2.81,0.933,dup
36704,5300,0.66,3.61,4.26,1.55,0.37,8.11,3.39,0.89,0.0,2.42,3.39,1.44,2.24,5.03,2.24,2.24,2.24,5.64,3.75,2.24,3.75,2.24,2.24,2.24,0.858,dup
36702,35789,1.26,6.23,3.84,5.49,3.33,5.57,4.53,2.3,1.79,4.39,2.88,0.62,0.99,6.5,4.97,2.74,3.84,10.06,5.52,1.93,3.19,4.37,7.27,2.52,0.921,dup
36634,36072,1.75,6.99,5.25,3.33,4.92,10.58,6.19,2.65,2.25,4.07,4.23,2.81,2.18,6.72,7.51,2.34,1.04,12.63,10.12,1.89,1.76,6.4,5.39,3.51,0.954,dup
36634,32849,1.75,6.99,5.25,3.33,4.92,10.58,6.19,2.65,2.25,4.07,4.23,2.81,2.97,9.0,9.94,9.21,6.61,13.94,13.27,3.2,3.45,9.14,9.59,4.34,0.966,dup
36630,36624,0.85,7.11,4.52,5.21,4.95,10.61,6.96,2.05,0.97,4.55,6.61,3.34,2.48,12.68,9.05,8.8,8.74,16.72,12.77,3.91,4.31,7.48,11.5,6.11,0.994,dup
36536,35171,0.68,4.02,1.91,0.68,0.68,4.44,0.68,0.0,0.0,0.0,2.41,0.68,0.5,4.79,3.08,2.05,0.94,3.94,2.08,0.5,2.7,2.08,1.19,0.5,0.852,dup
36521,26984,1.42,8.19,4.43,3.86,0.73,7.7,3.86,4.14,2.44,2.56,5.42,3.13,1.57,14.61,8.97,9.81,6.09,13.17,11.23,3.52,5.53,7.0,9.98,4.04,0.959,dup
36490,36450,0.0,7.4,6.19,2.69,3.54,8.76,3.54,3.45,2.9,4.29,7.06,3.18,1.44,3.0,5.18,3.05,2.35,6.29,3.97,1.83,2.52,3.0,5.75,2.31,0.962,dup
36405,34861,0.27,8.53,3.44,4.08,2.18,9.46,4.38,1.94,2.18,3.42,3.88,2.04,0.0,2.14,0.39,0.0,0.0,1.68,0.0,0.0,0.0,0.0,0.39,0.39,0.846,dup
36405,34306,0.27,8.53,3.44,4.08,2.18,9.46,4.38,1.94,2.18,3.42,3.88,2.04,0.0,3.87,2.1,0.0,0.45,5.75,1.87,0.0,0.0,1.67,0.72,0.36,0.919,dup
36390,36389,0.0,4.62,2.64,0.74,0.73,3.29,2.57,1.44,0.0,2.42,2.13,0.89,0.0,4.62,2.64,0.74,0.73,3.29,2.57,1.44,0.0,2.42,2.13,0.89,1.0,dup
36382,36381,0.0,9.19,6.67,4.34,4.17,10.04,8.04,4.19,4.27,5.74,9.59,2.94,0.99,9.2,5.45,4.7,4.32,9.49,6.71,3.28,3.89,6.01,8.17,2.54,0.995,dup
36339,34096,3.3,15.61,11.61,5.95,7.31,17.22,8.76,7.41,8.0,5.99,11.45,8.55,2.53,8.6,5.13,0.87,4.7,6.49,2.49,0.0,0.47,2.24,5.47,0.87,0.909,dup
36204,36025,2.16,9.91,4.18,4.68,1.93,5.98,6.35,1.54,2.75,4.05,5.07,2.41,0.8,6.56,2.89,2.42,1.39,7.7,4.96,0.33,0.65,2.26,3.12,0.65,0.943,dup
36195,21205,2.46,10.56,8.32,5.77,5.81,15.47,8.29,3.84,3.09,6.83,10.42,5.35,4.27,11.89,11.14,8.47,7.55,16.37,12.28,4.92,4.73,6.41,9.1,5.26,0.985,dup
36172,35616,0.0,3.61,3.51,0.68,0.85,7.06,3.8,0.0,2.13,1.87,2.59,0.68,0.82,5.98,6.46,3.26,4.62,7.08,4.42,1.85,1.5,3.07,4.5,2.23,0.912,dup
36146,36145,3.15,6.95,8.48,5.05,5.58,12.01,7.69,3.03,3.96,6.7,8.18,3.65,3.15,6.67,8.48,5.05,5.58,12.24,7.41,3.03,3.96,6.76,8.18,3.65,1.0,dup
36143,34451,1.34,5.99,7.5,5.16,5.54,8.72,6.47,4.03,0.51,4.33,6.0,3.69,0.0,6.74,8.11,1.45,2.88,10.24,8.18,0.61,2.1,4.15,4.7,2.07,0.932,dup
36143,34307,1.34,5.99,7.5,5.16,5.54,8.72,6.47,4.03,0.51,4.33,6.0,3.69,1.8,12.51,6.78,3.82,4.85,13.72,8.55,3.45,3.42,6.1,6.31,2.71,0.944,dup
36143,33985,1.34,5.99,7.5,5.16,5.54,8.72,6.47,4.03,0.51,4.33,6.0,3.69,1.03,5.69,8.42,2.22,2.22,5.05,3.23,1.19,0.0,4.04,2.96,2.96,0.93,dup
36141,36139,0.0,6.53,3.87,3.23,1.34,8.47,5.17,2.56,2.84,0.79,3.87,2.33,0.99,7.25,6.46,3.25,4.34,10.78,7.02,2.44,3.69,4.87,7.84,3.02,0.955,dup
36089,35823,0.0,7.9,5.2,4.26,3.79,7.45,5.06,3.87,3.63,4.41,5.68,3.38,0.0,6.97,7.97,3.09,3.74,11.0,7.14,1.64,0.65,3.48,5.26,3.87,0.942,dup
36089,35264,0.0,7.9,5.2,4.26,3.79,7.45,5.06,3.87,3.63,4.41,5.68,3.38,0.0,9.29,5.72,4.47,4.22,12.97,7.19,1.36,2.62,4.09,5.94,4.74,0.961,dup
